genre,season,capacity,ticket_price,marketing_spend,run_length_weeks,cast_popularity,is_musical,has_celebrity,prior_show_avg_rating,tickets_sold,total_revenue,sold_out
Musical,Spring,809,137.85,369374.4,27,7.67,1,0,4.12,172996,23847498.6,1
Family,Spring,592,189.79,44777.77,15,9.96,0,0,4.79,57418,10897362.22,0
Thriller,Fall,1136,67.35,125143.22,22,1.37,0,0,9.86,146273,9851486.55,0
Tragedy,Fall,1393,124.85,443518.15,30,3.2,0,0,1.76,225193,28115346.05,0
Tragedy,Winter,670,144.82,290575.8,3,6.38,0,0,2.0,10743,1555801.26,0
Experimental,Winter,1580,190.5,28060.87,5,4.74,0,0,4.92,16369,3118294.5,0
Musical,Summer,1349,242.0,353606.25,29,6.74,1,1,2.52,304959,73800078.0,1
Thriller,Winter,499,215.86,255807.77,19,6.28,0,0,7.16,58970,12729264.2,0
Drama,Fall,1889,164.84,427988.26,20,8.09,0,0,4.25,270519,44592351.96,1
Musical,Summer,278,156.32,342804.77,12,1.64,1,0,8.62,22287,3483903.84,0
Tragedy,Winter,1376,160.72,7201.06,26,4.97,0,1,7.74,160951,25868044.72,0
Experimental,Spring,991,147.67,106840.85,21,8.74,0,1,5.24,94807,14000149.69,0
Family,Fall,1376,38.36,132692.03,9,4.26,0,0,8.6,98081,3762387.16,1
Family,Winter,1593,182.12,352604.98,21,5.53,0,1,1.91,264947,48252147.64,1
Family,Fall,1436,186.18,257110.52,2,1.19,0,1,6.23,20571,3829908.78,1
Family,Winter,1371,140.31,374986.51,9,3.02,0,0,6.45,97724,13711654.44,1
Tragedy,Spring,1713,220.84,258869.26,8,5.17,0,0,3.21,43487,9603669.08,0
Musical,Fall,1463,176.3,167055.38,25,4.59,1,1,1.45,225983,39840802.9,0
Family,Winter,1664,106.6,56312.02,24,7.43,0,1,5.82,316293,33716833.8,1
Tragedy,Fall,925,29.43,105297.94,4,6.51,0,0,5.62,18738,551459.34,0
Tragedy,Winter,565,38.31,203386.14,29,8.92,0,0,6.88,116510,4463498.1,1
Comedy,Summer,622,104.15,277969.88,26,8.69,0,1,2.92,122307,12738274.05,1
Drama,Fall,1301,128.97,469625.51,15,3.17,0,0,2.62,129484,16699551.48,0
Experimental,Summer,1157,62.55,123661.49,8,1.16,0,0,9.8,42025,2628663.75,0
Family,Winter,338,67.6,334712.05,14,8.69,0,1,2.02,37477,2533445.2,1
Thriller,Spring,567,76.8,80510.23,19,3.96,0,0,9.99,73888,5674598.4,0
Comedy,Summer,1941,200.62,358307.8,20,4.12,0,0,7.48,232899,46724197.38,0
Family,Spring,1507,198.54,10613.73,12,2.43,0,0,6.66,56125,11143057.5,0
Tragedy,Fall,1558,111.16,329680.38,5,7.24,0,1,4.06,60723,6749968.68,1
Tragedy,Spring,554,63.78,85792.74,20,3.52,0,1,8.81,74516,4752630.48,0
Tragedy,Summer,315,49.95,94260.6,23,2.59,0,0,9.19,34307,1713634.65,0
Drama,Winter,724,44.6,281659.28,10,5.53,0,1,7.5,57340,2557364.0,1
Musical,Summer,1742,113.04,190828.72,21,7.75,1,0,7.39,289729,32750966.16,1
Tragedy,Spring,1111,35.25,238296.05,19,3.43,0,0,5.44,115308,4064607.0,0
Experimental,Spring,1612,100.07,157900.0,17,7.5,0,1,1.7,128844,12893419.08,0
Musical,Spring,1076,241.34,476966.19,2,5.16,1,0,9.99,17043,4113157.62,1
Experimental,Winter,1082,139.19,148874.77,11,4.63,0,0,1.14,47688,6637692.72,0
Family,Fall,1281,210.1,273313.48,13,4.24,0,0,5.46,100663,21149296.3,0
Drama,Winter,1926,54.08,427906.0,27,2.31,0,0,4.3,400230,21644438.4,1
Thriller,Spring,987,85.32,333769.5,26,3.99,0,1,7.99,203243,17340692.76,1
Drama,Summer,1272,237.97,164774.59,28,8.91,0,1,7.62,232036,55217606.92,0
Family,Spring,1855,111.3,278456.16,15,1.92,0,0,6.65,220374,24527626.2,1
Thriller,Summer,870,170.89,46080.61,11,9.62,0,1,1.67,57199,9774737.11,0
Comedy,Fall,1711,244.63,275114.77,16,1.97,0,0,3.13,122503,29967908.89,0
Musical,Winter,1163,148.93,218537.6,25,4.26,1,1,1.85,230273,34294557.89,1
Experimental,Summer,1782,93.7,380177.19,20,6.46,0,0,9.81,211783,19844067.1,0
Tragedy,Winter,1042,144.69,424711.91,20,8.54,0,1,2.15,165052,23881373.88,1
Experimental,Fall,1333,37.29,103810.18,15,2.29,0,0,9.7,72315,2696626.35,0
Thriller,Summer,781,50.28,45360.27,22,2.27,0,0,2.01,72119,3626143.32,0
Family,Winter,1343,26.61,198325.71,28,6.66,0,0,8.76,297823,7925070.03,1
Family,Summer,787,223.95,269404.45,22,3.63,0,0,6.17,97422,21817656.9,0
Drama,Spring,1296,176.04,191516.96,14,6.8,0,0,8.49,118589,20876407.56,0
Comedy,Winter,1619,92.12,316137.78,27,8.39,0,1,6.71,346206,31892496.72,1
Tragedy,Winter,982,74.76,255297.38,30,1.69,0,1,7.92,150924,11283078.24,0
Tragedy,Spring,972,178.69,468629.89,25,8.6,0,1,7.58,188090,33609802.1,1
Musical,Winter,779,231.89,207648.61,28,1.34,1,0,3.34,94612,21939576.68,0
Tragedy,Winter,1514,92.31,45834.62,9,9.09,0,1,9.42,100857,9310109.67,1
Drama,Winter,1265,97.35,154457.84,14,9.78,0,1,6.79,140263,13654603.05,1
Family,Summer,1129,217.2,304917.46,9,7.01,0,1,2.82,65031,14124733.2,0
Thriller,Fall,245,226.01,131732.42,12,9.86,0,1,3.75,19771,4468443.71,0
Experimental,Fall,398,230.66,138149.28,24,8.4,0,0,5.8,32276,7444782.16,0
Family,Fall,213,90.96,173088.38,22,1.4,0,0,8.94,34732,3159222.72,1
Comedy,Fall,1730,52.07,374340.18,2,1.03,0,1,8.17,27403,1426874.21,1
Experimental,Fall,1732,124.0,470365.95,24,1.19,0,0,3.72,142344,17650656.0,0
Comedy,Fall,322,91.55,178436.43,7,5.07,0,0,7.2,17661,1616864.55,1
Comedy,Fall,283,223.87,101766.58,7,6.61,0,1,1.01,10897,2439511.39,0
Experimental,Fall,1606,33.24,213215.29,18,5.33,0,1,3.99,178902,5946702.48,0
Comedy,Spring,1144,167.62,179160.65,9,7.09,0,1,8.56,81544,13668405.28,1
Musical,Spring,756,228.89,495062.33,30,5.05,1,0,2.36,163157,37345005.73,1
Tragedy,Winter,1306,244.75,234614.79,6,1.38,0,0,4.18,28014,6856426.5,0
Family,Winter,625,171.28,341245.26,6,3.04,0,0,1.01,20335,3482978.8,0
Drama,Fall,556,238.73,457325.09,24,9.93,0,1,1.21,105684,25229941.32,1
Tragedy,Spring,861,42.02,316385.48,10,4.11,0,1,2.31,56620,2379172.4,0
Musical,Winter,1812,105.84,128442.35,23,3.92,1,0,1.92,298194,31560852.96,1
Thriller,Spring,1580,26.96,305668.0,22,2.38,0,0,5.41,275299,7422061.04,1
Tragedy,Summer,542,245.77,203928.79,7,9.88,0,1,9.1,23767,5841215.59,0
Comedy,Summer,1211,228.11,214063.19,19,3.07,0,0,1.76,77046,17574963.06,0
Drama,Spring,1792,31.31,489765.67,18,6.82,0,1,8.83,255467,7998671.77,1
Tragedy,Winter,1912,29.08,142902.55,4,1.38,0,0,7.01,40994,1192105.52,0
Thriller,Fall,1573,107.57,237122.9,24,1.6,0,0,2.52,175791,18909837.87,0
Experimental,Summer,431,83.17,84134.19,27,7.45,0,1,3.61,47832,3978187.44,0
Tragedy,Fall,633,215.56,93379.38,30,6.72,0,1,2.75,96790,20864052.4,0
Drama,Spring,593,61.11,303724.79,4,7.12,0,0,8.1,18786,1148012.46,1
Family,Summer,471,202.9,376752.78,7,3.08,0,0,7.53,24035,4876701.5,1
Thriller,Fall,515,149.75,320047.64,26,9.86,0,1,3.74,106048,15880688.0,1
Thriller,Summer,769,109.91,167995.58,11,6.03,0,0,1.49,40912,4496637.92,0
Musical,Winter,1199,57.79,34511.0,20,9.73,1,1,2.52,189921,10975534.59,1
Comedy,Spring,916,249.48,237780.61,12,2.48,0,0,6.67,54136,13505849.28,0
Family,Spring,957,164.05,254613.48,8,4.65,0,1,1.81,51441,8438896.05,0
Family,Fall,642,123.86,386472.55,20,4.02,0,1,5.83,101692,12595571.12,1
Tragedy,Winter,471,108.5,321943.33,8,7.8,0,1,6.52,29842,3237857.0,1
Family,Summer,1998,228.79,436273.02,6,7.73,0,1,7.19,94944,21722237.76,1
Family,Spring,1278,209.77,392576.52,17,5.38,0,1,2.13,171633,36003454.41,1
Comedy,Winter,613,207.52,186109.5,7,1.15,0,0,5.14,20649,4285080.48,0
Experimental,Summer,1657,163.64,317949.6,7,2.58,0,0,5.17,39113,6400451.32,0
Comedy,Spring,1695,224.79,374906.83,25,1.45,0,0,8.52,215607,48466297.53,0
Drama,Fall,1940,92.34,478655.78,17,8.62,0,1,5.22,261201,24119300.34,1
Thriller,Summer,486,183.33,214064.32,18,3.61,0,0,4.66,39712,7280400.96,0
Thriller,Winter,1351,116.0,325899.59,6,2.06,0,0,2.11,43939,5096924.0,0
Musical,Summer,1964,160.0,199368.6,6,4.19,1,0,7.25,81413,13026080.0,0
Family,Fall,1652,249.58,370224.95,13,1.7,0,0,6.58,130709,32622352.22,0
Drama,Fall,605,246.52,456436.62,13,9.81,0,1,7.45,62290,15355730.8,1
Family,Spring,1807,140.34,460016.88,15,3.84,0,1,6.91,214671,30126928.14,1
Musical,Summer,959,154.12,82758.32,6,9.4,1,1,8.88,45571,7023402.52,1
Family,Spring,1080,226.9,106027.82,28,7.14,0,1,8.9,223432,50696720.8,1
Family,Fall,1205,246.77,378690.08,12,6.09,0,0,3.77,91046,22467421.42,0
Family,Winter,1588,200.19,317349.89,26,5.28,0,0,2.64,272484,54548571.96,0
Thriller,Winter,416,39.67,453028.11,14,7.19,0,0,9.34,46126,1829818.42,1
Tragedy,Summer,1170,97.59,160331.28,16,7.18,0,1,7.42,122817,11985711.03,0
Thriller,Summer,1670,226.73,424770.3,5,1.09,0,0,9.74,47152,10690772.96,0
Drama,Fall,1187,197.88,343469.05,22,9.17,0,0,5.47,206822,40925937.36,1
Family,Fall,694,192.0,101750.87,3,4.31,0,1,9.66,13762,2642304.0,0
Tragedy,Winter,301,175.28,67614.71,24,4.18,0,0,2.1,21275,3729082.0,0
Tragedy,Spring,1188,118.43,352848.18,28,4.66,0,0,6.31,225638,26722308.34,0
Tragedy,Spring,1466,115.73,83438.45,12,7.17,0,1,5.47,91753,10618574.69,0
Tragedy,Summer,1189,207.01,398192.87,28,4.38,0,1,1.02,133798,27697523.98,0
Musical,Summer,1962,91.1,280762.04,22,4.36,1,1,2.74,340195,30991764.5,1
Musical,Summer,1284,179.09,241049.2,2,1.57,1,0,2.38,13685,2450846.65,0
Drama,Winter,1114,188.4,141386.87,8,4.75,0,1,1.55,41662,7849120.8,0
Musical,Spring,299,215.03,492003.57,21,2.35,1,0,9.53,49729,10693226.87,1
Tragedy,Winter,1205,96.97,362472.72,23,8.7,0,1,9.69,219502,21285108.94,1
Thriller,Fall,503,191.93,390141.51,4,4.01,0,0,9.03,12706,2438662.58,0
Thriller,Fall,1504,48.96,385511.91,22,9.65,0,0,9.9,262056,12830261.76,1
Tragedy,Fall,490,56.06,294087.71,26,7.16,0,0,8.48,91876,5150568.56,1
Family,Spring,1832,118.9,470150.93,4,7.81,0,0,9.39,58037,6900599.3,1
Tragedy,Fall,743,37.43,293991.64,28,9.53,0,1,2.78,164767,6167228.81,1
Musical,Spring,981,238.23,262422.56,17,3.15,1,1,3.31,97726,23281264.98,0
Family,Fall,460,227.93,140486.67,20,6.11,0,1,8.76,67970,15492402.1,1
Thriller,Fall,579,36.01,144459.28,3,1.37,0,0,5.32,12216,439898.16,0
Thriller,Fall,1859,213.62,369757.53,20,1.91,0,0,7.45,200143,42754547.66,0
Tragedy,Summer,710,139.5,170709.87,15,4.3,0,1,6.06,42560,5937120.0,0
Tragedy,Summer,1123,182.94,365711.82,13,7.14,0,0,3.75,81551,14918939.94,0
Musical,Summer,1966,224.56,476589.85,25,8.49,1,1,3.56,389268,87414022.08,1
Tragedy,Spring,1322,154.82,222457.18,9,3.31,0,0,7.73,56297,8715901.54,0
Family,Fall,274,51.17,53176.19,3,7.74,0,0,5.79,6510,333116.7,1
Comedy,Spring,843,25.58,334940.51,16,3.02,0,0,4.23,99173,2536845.34,1
Thriller,Summer,896,136.81,9713.9,24,1.05,0,0,6.55,66754,9132614.74,0
Musical,Fall,697,238.58,394566.74,6,1.49,1,0,4.78,22791,5437476.78,0
Comedy,Spring,634,153.84,265198.29,31,6.27,0,0,5.28,144212,22185574.08,1
Tragedy,Winter,1105,108.91,247417.44,22,5.47,0,0,7.1,144444,15731396.04,0
Experimental,Summer,878,31.96,286873.87,30,3.43,0,0,5.12,96976,3099352.96,0
Drama,Spring,729,230.87,260622.23,16,1.06,0,0,9.55,55836,12890857.32,0
Drama,Fall,943,98.61,165269.75,5,6.11,0,0,5.37,30589,3016381.29,0
Comedy,Fall,818,183.57,144346.91,7,8.36,0,1,9.66,45349,8324715.93,1
Experimental,Fall,611,181.2,210572.24,17,1.62,0,0,8.63,29101,5273101.2,0
Family,Winter,1014,82.12,447980.09,19,7.63,0,1,9.02,152586,12530362.32,1
Musical,Summer,1896,39.35,72008.38,24,6.71,1,1,7.87,360391,14181385.85,1
Drama,Winter,1110,111.63,165758.48,25,5.31,0,0,6.44,185188,20672536.44,0
Family,Summer,1275,96.35,100188.71,24,1.44,0,0,5.79,166896,16080429.6,0
Musical,Fall,1971,182.56,216432.8,19,9.31,1,1,5.96,296596,54146565.76,1
Family,Spring,1304,209.45,71081.72,2,5.3,0,1,2.81,12759,2672372.55,0
Drama,Fall,601,75.05,381593.83,17,4.6,0,1,2.93,80918,6072895.9,1
Experimental,Summer,917,143.85,56216.36,26,8.75,0,1,1.31,71001,10213493.85,0
Comedy,Fall,1078,34.14,334304.74,27,8.61,0,1,7.71,230519,7869918.66,1
Tragedy,Winter,1054,73.21,137516.61,27,7.55,0,0,2.12,156330,11444919.3,0
Thriller,Winter,469,196.4,238734.05,2,8.46,0,1,6.24,7327,1439022.8,1
Musical,Winter,390,203.51,103994.04,15,2.12,1,0,2.24,24034,4891159.34,0
Tragedy,Spring,829,199.69,366460.72,20,7.85,0,1,1.6,80096,15994370.24,0
Tragedy,Spring,1845,57.04,474396.61,9,3.95,0,1,5.8,114348,6522409.92,0
Family,Winter,1491,148.98,114763.92,14,8.81,0,0,8.86,165322,24629671.56,1
Experimental,Summer,1715,120.11,476810.84,4,4.33,0,0,4.2,28565,3430942.15,0
Thriller,Spring,514,248.08,166010.53,7,1.49,0,0,9.27,16283,4039486.64,0
Comedy,Summer,945,172.17,281134.35,2,4.73,0,0,1.09,10095,1738056.15,0
Comedy,Winter,1246,235.42,352287.03,31,7.81,0,1,5.19,305917,72018980.14,1
Comedy,Summer,981,57.7,103637.96,27,5.51,0,0,2.32,152920,8823484.0,0
Family,Spring,950,126.45,225158.15,14,7.87,0,1,3.84,105336,13319737.2,1
Comedy,Fall,847,198.61,38574.6,2,1.32,0,0,1.21,4862,965641.82,0
Drama,Spring,292,107.77,350041.62,12,2.59,0,0,1.32,15610,1682289.7,0
Comedy,Summer,1743,167.31,211224.98,15,6.07,0,1,7.42,197395,33026157.45,1
Musical,Spring,1879,140.13,446364.04,7,4.47,1,1,6.89,104171,14597482.23,1
Musical,Fall,345,248.18,140625.98,21,7.12,1,1,2.88,50325,12489658.5,0
Musical,Summer,944,64.12,462182.66,31,9.66,1,1,9.11,231770,14861092.4,1
Family,Winter,1132,235.45,74814.72,27,6.94,0,1,7.19,229523,54041190.35,1
Family,Summer,1611,115.35,305448.4,27,4.76,0,0,4.03,327685,37798464.75,1
Thriller,Spring,1976,130.3,157365.05,26,5.88,0,1,4.67,309231,40292799.3,0
Tragedy,Spring,949,143.94,94981.9,4,9.22,0,1,3.63,23058,3318968.52,0
Family,Spring,1548,84.71,51498.9,18,7.06,0,1,8.48,220682,18693972.22,1
